,고객번호,H1,H2,H3,H4,성별,연령대,거주지역
0,00001,19925355,34116312,17898365,13102518,M,60세이상,060
1,00002,24323230,21922100,27791610,25843820,M,60세이상,100
2,00003,851215,1042554,592280,679118,M,60세이상,033
3,00004,5042106,4257510,3656937,3737257,F,60세이상,016
4,00005,5460150,2225730,2934930,2616260,M,60세이상,100
5,00006,5281290,6114089,6389055,6721983,F,60세이상,240
6,00007,13478195,20933292,21023304,18291485,F,60세이상,036
7,00008,11695382,18151180,14506420,18002970,M,60세이상,010
8,00009,38267420,39862250,83988810,41814260,F,60세이상,100
9,00010,5130926,4224924,5268427,3926650,F,60세이상,024
10,00011,27424075,44651084,33356200,23587850,M,60세이상,100
11,00012,1195494,831732,1233344,3149397,M,60세이상,043
12,00013,3914524,4248115,5059991,4487216,F,60세이상,210
13,00014,9504113,8041574,11421564,5600485,F,60세이상,043
14,00015,9616578,4130611,8387138,2980917,F,60세이상,024
15,00016,1268460,2944120,3654695,3062830,F,60세이상,460
16,00017,49998701,20089530,24983228,47747646,M,60세이상,043
17,00018,62432272,12947662,2794320,2434805,F,60세이상,210
18,00019,10807580,9294660,11059410,11786720,F,60세이상,100
19,00020,6405990,4268990,6624950,5422580,M,60세이상,033
20,00021,4571031,5414334,7186304,5547895,M,60세이상,055
21,00022,43445550,40323380,37499200,24422440,F,60세이상,
22,00023,14303324,32335677,15464550,16520880,M,60세이상,055
23,00024,2888396,3643337,2290513,3258112,M,60세이상,043
24,00025,4135322,4850080,19249381,18613660,F,60세이상,460
25,00026,31182747,51131580,24805516,20112021,F,60세이상,460
26,00027,20595916,7906760,13650380,17907960,M,60세이상,060
27,00028,2058196,1823448,2038994,2756562,F,60세이상,047
28,00029,25589460,18232790,20350894,21789227,M,60세이상,210
29,00030,20517736,29935419,27172546,28490365,F,60세이상,043
30,00031,2509860,4271680,3225860,3541220,F,60세이상,100
31,00032,3786552,5353747,4532715,5871373,F,60세이상,100
32,00033,2914228,2207566,2513110,2908181,M,60세이상,100
33,00034,4965030,4155550,3614970,2387670,F,60세이상,039
34,00035,9047898,10748684,12242601,12661823,F,60세이상,440
35,00036,13537344,11176979,10173310,8621710,M,60세이상,100
36,00037,5239520,25238100,16756820,13543830,F,60세이상,016
37,00038,4722519,6005414,5494639,7412883,F,60세이상,055
38,00039,114397170,24750450,35631338,32934384,F,60세이상,043
39,00040,6548869,4053864,7116033,8543304,M,60세이상,100
40,00041,4962620,4149840,4938550,4612200,M,60세이상,055
41,00042,3504075,3044198,4384147,5016032,M,60세이상,055
42,00043,1788554,2646626,1442350,1655597,F,60세이상,100
43,00044,7833010,54814286,9832914,38008680,F,60세이상,055
44,00045,27844323,61464816,77343532,63384740,F,60세이상,100
45,00046,37079440,11367170,48694400,37039940,F,60세이상,043
46,00047,7101446,7096524,3827355,2761991,F,60세이상,055
47,00048,15716980,23230910,25175180,19050570,F,60세이상,210
48,00049,20619754,14825410,22192400,33797290,F,60세이상,055
49,00050,7439260,6596010,5414960,5759291,F,60세이상,016
50,00051,7273495,6978319,4060736,3887529,F,60세이상,210
51,00052,11793500,8038450,10762750,6382970,F,60세이상,087
52,00053,18208531,19617916,9141840,5580355,M,60세이상,065
53,00054,3144670,2807450,2191650,2512460,F,60세이상,100
54,00055,1665337,2484157,1808780,1644855,F,60세이상,100
55,00056,28310840,12100960,36184363,15985850,F,60세이상,100
56,00057,2614348,2206643,2982629,2526370,F,60세이상,100
57,00058,6112640,7459770,5478560,7473690,F,60세이상,024
58,00059,8429690,6119358,5907000,6810704,F,60세이상,055
59,00060,6094847,6785239,6653988,10962295,F,60세이상,013
60,00061,10444883,5300518,4470494,6642208,F,60세이상,055
61,00062,5723834,6215190,4529970,4716328,F,60세이상,460
62,00063,1312450,1465930,1749730,1643270,F,60세이상,100
63,00064,1310557,1380543,770245,390774,M,60세이상,100
64,00065,3804791,5028865,6897950,3621968,F,60세이상,055
65,00066,4999811,4285668,4626782,4428265,F,60세이상,024
66,00067,1936991,2803406,2877652,3120098,F,60세이상,049
67,00068,134454974,62551366,57876795,48407710,M,60세이상,100
68,00069,3370799,4171335,3722299,4468195,F,60세이상,100
69,00070,6683440,12990960,5061540,7540370,M,60세이상,065
70,00071,1159581,1176575,1309351,1127127,F,60세이상,016
71,00072,1702370,2914007,2386468,2812370,F,60세이상,100
72,00073,59122820,63912720,59480490,49692080,F,60세이상,460
73,00074,13677700,9801000,5163110,3346090,F,60세이상,055
74,00075,1274322,1506524,1108206,1273310,M,60세이상,036
75,00076,2882866,3212068,3018310,3153400,F,60세이상,100
76,00077,9368211,8311825,7893718,10773882,F,60세이상,460
77,00078,16137792,19520260,33694851,23013000,F,60세이상,100
78,00079,3856113,4549828,3607631,3914785,F,60세이상,055
79,00080,1821909,2684343,2979539,3397439,F,60세이상,055
80,00081,14993920,14094768,19546090,25690100,F,60세이상,016
81,00082,24029720,44198016,30271926,55821428,F,60세이상,055
82,00083,16151760,36180229,29628050,40436910,F,60세이상,060
83,00084,11494220,5567280,38392370,7791030,F,60세이상,100
84,00085,1698480,2862400,4474790,5165360,F,60세이상,100
85,00086,7576952,10028915,9545458,13691191,F,60세이상,100
86,00087,28521810,6072030,7752052,9259250,M,60세이상,013
87,00088,13055717,13988663,12320118,24323994,F,60세이상,049
88,00089,4307388,3777259,4388995,3524364,F,60세이상,055
89,00090,6159990,29031812,7796930,14853350,F,60세이상,055
90,00091,4707878,4738530,4986750,4630379,F,60세이상,100
91,00092,10905478,15299130,12305226,17838951,F,60세이상,100
92,00093,20975520,28301330,37975290,28904097,F,60세이상,460
93,00094,470651,17417270,8765136,45928590,F,60세이상,100
94,00095,1971512,2029445,1812664,2150120,M,60세이상,100
95,00096,13744600,8206880,4685750,5410700,F,60세이상,055
96,00097,257426778,248380354,307372262,166374512,M,60세이상,360
97,00098,4381072,6825069,6148540,4835406,F,60세이상,049
98,00099,39262123,83788648,66658092,68290903,F,60세이상,100
99,00100,7121874,15554964,2716925,2241544,F,60세이상,055
100,00101,1950107,1364196,1699057,2026891,F,60세이상,055
101,00102,50281258,28015666,17374387,17917323,F,60세이상,055
102,00103,1159673,1232752,1139608,1208785,F,60세이상,024
103,00104,3754752,4855008,3397468,3750802,F,60세이상,049
104,00105,5329623,6670173,4549573,6069681,M,60세이상,100
105,00106,19973640,13649200,13209950,23048829,F,60세이상,100
106,00107,20054481,36525210,37608047,40892127,F,60세이상,060
107,00108,3335520,3308000,3615950,4612330,F,60세이상,069
108,00109,3162914,2561042,1449687,1666526,F,60세이상,100
